Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Fulham,Southampton,true,17,16,5,9,1.0,1.0,0,0,13,0.8,0,0.2,0,0.7,1,1.8,1.8,57.8,51,−6.8,691,31,20,8
Chelsea,Everton,false,17,12,4,6,1.3,1.3,0,0,6,0.7,0,1.0,0,0.2,1,2.0,2.0,40.6,54,13.4,783,20,11,5
Bournemouth,Manchester United,false,17,10,5,6,1.9,1.2,3,2,8,1.0,2,2.4,0,0.1,1,2.9,2.2,39.8,74,34.2,505,14,15,2
Southampton,Fulham,false,17,5,1,3,0.2,0.2,0,0,2,0.0,0,1.0,0,0.2,1,0.2,0.2,29.3,57,27.7,566,13,9,3
Wolverhampton Wanderers,Leicester,false,17,8,4,6,1.1,1.1,3,3,7,1.1,3,0.8,0,0.4,1,2.2,2.2,50.6,81,30.4,595,10,8,0
Arsenal,Crystal Palace,false,17,14,6,13,3.1,3.1,5,5,11,2.1,4,1.6,1,0.1,0,5.2,5.2,50.4,68,17.6,710,31,12,5
Everton,Chelsea,true,17,5,4,2,1.0,1.0,0,0,2,0.7,0,1.3,0,0.1,1,1.7,1.7,34.6,48,13.4,345,7,5,1
West Ham,Brighton,true,17,11,4,8,1.3,1.3,1,1,5,0.6,0,1.0,1,0.2,0,1.9,1.9,40.5,35,−5.5,543,25,5,4
Ipswich,Newcastle United,true,17,10,2,8,0.7,0.7,0,0,9,0.4,0,2.3,4,0.0,0,1.1,1.1,24.9,15,−9.9,540,19,15,8
Manchester City,Aston Villa,false,17,12,6,7,1.0,1.0,1,1,11,0.6,0,1.6,2,0.1,0,1.6,1.6,31.9,25,−6.9,651,20,18,9
Liverpool,Tottenham,false,17,24,11,18,5.3,5.3,6,6,16,3.0,4,1.2,3,0.2,0,8.3,8.3,70.8,73,2.2,668,46,17,9
Aston Villa,Manchester City,true,17,11,6,10,1.6,1.6,2,2,9,1.2,2,1.0,1,0.3,0,2.8,2.8,44.6,42,−2.6,533,16,7,2
Crystal Palace,Arsenal,true,17,15,6,10,1.6,1.6,1,1,12,1.2,1,3.1,5,0.0,0,2.8,2.8,33.2,21,−12.2,528,18,13,2
Manchester United,Bournemouth,true,17,23,7,13,2.4,2.4,0,0,18,1.8,0,1.9,3,0.1,0,4.2,4.2,41.7,15,−26.7,648,41,10,5
Brighton,West Ham,false,17,12,6,10,1.0,1.0,1,1,9,0.7,0,1.3,1,0.2,0,1.7,1.7,40.0,36,−4.0,610,52,16,14
Leicester,Wolverhampton Wanderers,true,17,9,4,7,0.8,0.8,0,0,8,0.5,0,1.1,3,0.3,0,1.3,1.3,31.6,16,−15.6,672,17,11,2
Brentford,Nottingham Forest,true,17,7,3,7,0.8,0.8,0,0,4,0.5,0,0.8,2,0.3,0,1.3,1.3,38.2,20,−18.2,688,36,21,10
Nottingham Forest,Brentford,false,17,10,6,7,0.8,0.8,2,2,8,0.7,1,0.8,0,0.4,1,1.5,1.5,46.6,72,25.4,487,16,7,6
Arsenal,Ipswich,true,18,13,5,9,1.9,1.9,1,1,12,1.9,1,0.1,0,0.9,1,3.8,3.8,62.8,57,−5.8,805,40,23,8
Wolverhampton Wanderers,Manchester United,true,18,7,4,3,0.8,0.8,2,2,4,0.7,1,0.3,0,0.7,1,1.5,1.5,56.8,72,15.2,636,13,16,6
