Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Everton,Nottingham Forest,true,19,13,2,9,0.7,0.7,0,0,11,0.5,0,1.5,2,0.1,0,1.2,1.2,28.4,17,−11.4,667,27,12,2
Tottenham,Wolverhampton Wanderers,true,19,13,3,10,2.0,1.2,2,2,11,1.2,2,0.6,2,0.5,0,3.2,2.4,52.4,37,−15.4,570,29,12,10
Bournemouth,Fulham,false,19,16,8,12,1.8,1.8,2,2,12,1.4,2,1.0,2,0.4,0,3.2,3.2,51.4,36,−15.4,616,28,17,3
Southampton,Crystal Palace,false,19,7,3,7,1.2,1.2,1,1,6,1.2,1,2.2,2,0.0,0,2.4,2.4,32.0,28,−4.0,594,16,9,3
Chelsea,Ipswich,false,19,20,4,14,1.8,1.8,0,0,17,1.2,0,1.7,2,0.1,0,3.0,3.0,40.3,17,−23.3,869,36,24,7
West Ham,Liverpool,true,19,7,0,5,0.4,0.4,0,0,6,0.2,0,3.1,5,0.0,0,0.6,0.6,24.2,14,−10.2,610,16,11,8
Aston Villa,Brighton,true,19,20,4,12,1.7,0.9,2,1,15,0.7,1,1.1,2,0.4,0,2.4,1.6,50.3,42,−8.3,626,44,16,11
Brighton,Aston Villa,false,19,13,4,7,1.1,1.1,2,2,10,0.9,2,1.7,2,0.1,0,2.0,2.0,31.8,35,3.2,495,23,13,8
Manchester City,Leicester,false,19,14,5,8,1.3,1.3,2,2,10,0.9,1,1.2,0,0.1,1,2.2,2.2,36.3,70,33.7,623,24,14,3
Leicester,Manchester City,true,19,11,3,10,1.2,1.2,0,0,7,1.0,0,1.3,2,0.2,0,2.2,2.2,41.7,21,−20.7,697,26,13,5
Nottingham Forest,Everton,false,19,11,7,7,1.5,1.5,2,2,7,1.0,2,0.7,0,0.5,1,2.5,2.5,55.4,75,19.6,455,12,11,1
Liverpool,West Ham,false,19,22,13,17,3.1,3.1,5,5,19,2.9,4,0.4,0,0.5,1,6.0,6.0,65.0,87,22.0,681,41,15,10
Newcastle United,Manchester United,false,19,12,4,7,1.9,1.9,2,2,10,1.3,1,1.0,0,0.3,1,3.2,3.2,48.6,66,17.4,649,18,7,4
Fulham,Bournemouth,true,19,11,6,8,1.0,1.0,2,2,9,0.9,2,1.8,2,0.1,0,1.9,1.9,40.3,41,0.7,659,20,11,2
Crystal Palace,Southampton,true,19,19,9,12,2.2,2.2,2,2,10,1.7,1,1.2,1,0.1,0,3.9,3.9,44.4,42,−2.4,547,25,5,5
Manchester United,Newcastle United,true,19,10,0,7,1.0,1.0,0,0,8,0.8,0,1.9,2,0.1,0,1.8,1.8,33.2,18,−15.2,712,16,9,3
Ipswich,Chelsea,true,19,9,6,8,1.7,0.9,2,1,5,0.5,1,1.8,0,0.1,1,2.2,1.4,39.8,67,27.2,358,14,5,4
Brentford,Arsenal,true,19,5,2,4,0.4,0.4,1,1,3,0.3,1,2.0,3,0.0,0,0.7,0.7,25.5,29,3.5,605,10,7,2
Chelsea,Crystal Palace,false,20,15,1,12,1.2,1.2,1,1,13,1.3,1,0.8,1,0.2,0,2.5,2.5,41.0,35,−6.0,710,35,18,8
Newcastle United,Tottenham,false,20,14,4,11,2.3,2.3,2,2,11,1.4,1,1.0,1,0.3,0,3.7,3.7,51.3,41,−10.3,521,27,12,8
